Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
67203442,"Detection of Signals in Noise, Second Edition",1,"McDonough, Robert N.",,"Whalen, A. D.",,"Academic Press (1995), Edition: 2, Hardcover, 495 pages",1995,,,,,"Detection of Signals in Noise, Second Edition by Robert N. McDonough (1995)",Hardcover,495 p.; 9.21 inches,1.76 pounds,9.21 inches,1.02 inches,6.14 inches,9.21 x 6.14 x 1.02 inches,495 ,,,,,,,,Your library,English,,,[0127448527],"[0127448527, 9780127448527]",,621.38224,"Communications > Electric engineering > Electronics, Communications. > Engineering > Mechanical Engineering and Machinery > Technology",,1,amazon.com,2010-11-27,,,1613702,,,,
67203446,Advanced Calculus for Applications (2nd Edition),1,"Hildebrand, Francis B.",,,,"Prentice Hall (1976), Edition: 2, Paperback, 733 pages",1976,,,,,Advanced Calculus for Applications (2nd Edition) by Francis B. Hildebrand (1976),Paperback,733 p.; 8.8 inches,2 pounds,8.8 inches,1.5 inches,6 inches,8.8 x 6 x 1.5 inches,733 ,,,,,,,,Your library,English,English,QA303 .H55,[0130111899],"[0130111899, 9780130111890]",Calculus,515,Analysis > Mathematics > Mathematics and Science,,1,amazon.com,2010-11-27,,,1073681,,,,
67203450,Random Processes in Physics and Finance (Oxford Finance Series),1,"Lax, Melvin",,,,"Oxford University Press, USA (2006), Hardcover, 342 pages",2006,,,,,Random Processes in Physics and Finance (Oxford Finance Series) by Melvin Lax (2006),Hardcover,342 p.; 9.5 inches,1.8 pounds,9.5 inches,1 inch,6.5 inches,9.5 x 6.5 x 1 inches,342 ,,,,,,,,Your library,,,QC20.7 .S8,[0198567766],"[0198567766, 9780198567769]",,530.15828,Mathematical Physics > Mathematics and Science > Physics > Physics > Theoretical Physics,,1,amazon.com,2010-11-27,,,5047347,,,,
67203453,Introduction to Solid State Physics,1,"Kittel, Charles",,,,"Wiley (1995), Edition: 7, Hardcover, 688 pages",1995,,,,,Introduction to Solid State Physics by Charles Kittel (1995),Hardcover,688 p.; 9.52 inches,2.52 pounds,9.52 inches,1.18 inches,7.16 inches,9.52 x 7.16 x 1.18 inches,688 ,,,,,,,,Your library,,English,QC176 .K5,[0471111813],"[0471111813, 9780471111818]",Solid state physics|Solids,530.41,Mathematics and Science > Physics > Physics > Special Topics,,1,amazon.com,2010-11-27,,,115137,,,,
67203454,An Introduction to Information Theory,4,"Pierce, John R.",,,,"Dover Publications (1980), Edition: 2nd Revised ed., Paperback, 320 pages",1980,,,,,An Introduction to Information Theory by John R. Pierce (1980),Paperback,320 p.; 8.4 inches,0.5 pounds,8.4 inches,0.8 inches,5.5 inches,8.4 x 5.5 x 0.8 inches,320 ,,,,,,,,Your library,,English,Q360 .P5,[0486240614],"[0486240614, 9780486240619]",Information theory,001.539,Artificial Intelligence > Communication > Computing And Information > Information > Knowledge,,1,amazon.com,2010-11-27,,,139028,,,,
67203459,"Multivariate Statistical Methods: A Primer, Third Edition",1,"Manly, Bryan F.J.",,,,"Chapman and Hall/CRC (2004), Edition: 3, Paperback, 208 pages",2004,,,,,"Multivariate Statistical Methods: A Primer, Third Edition by Bryan F.J. Manly (2004)",Paperback,208 p.; 9.1 inches,0.66 pounds,9.1 inches,0.6 inches,5.8 inches,9.1 x 5.8 x 0.6 inches,208 ,,,,,,,,Your library,,English,QA278 .M35,[1584884142],"[1584884142, 9781584884149]",Multivariate Analysis|Multivariate analysis,519.535,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2010-11-27,,,168167,,,,
67203466,Density Estimation for Statistics and Data Analysis (Chapman & Hall/CRC Monographs on Statistics & Applied Probability),1,"Silverman, Bernard. W.",,,,"Chapman and Hall/CRC (1986), Edition: 1, Hardcover, 176 pages",1986,,,,,Density Estimation for Statistics and Data Analysis (Chapman & Hall/CRC Monographs on Statistics & Applied Probability) by Bernard. W. Silverman (1986),Hardcover,176 p.; 9.1 inches,0.85 pounds,9.1 inches,0.6 inches,6.3 inches,9.1 x 6.3 x 0.6 inches,176 ,,,,,,,,Your library,English,English,QA276.8 .S555,[0412246201],"[0412246201, 9780412246203]",,519.544,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2010-11-27,,,760278,,,,
67203469,Neural Networks for Pattern Recognition,1,"Bishop, Christopher M.",,,,"Oxford University Press, USA (1996), Edition: 1, Paperback, 504 pages",1996,,,,,Neural Networks for Pattern Recognition by Christopher M. Bishop (1996),Paperback,504 p.; 9 inches,1.65 pounds,9 inches,1.1 inches,6.1 inches,9 x 6.1 x 1.1 inches,504 ,,,,,,,,Your library,,English,QA76.87 .B574,[0198538642],"[0198538642, 9780198538646]",Neural networks (Computer science)|Pattern recognition systems,006.4,Computing And Information > Information > Pattern And Speech Recognition > Special Topics,,1,amazon.com,2010-11-27,,,90865,,,,
68692220,Introduction to Fluid Mechanics,1,"Fox, Robert W.",,"McDonald, Alan T.",,"John Wiley & Sons (1992), Edition: 4 Sub, Hardcover, 848 pages",1992,,,,,Introduction to Fluid Mechanics by Robert W. Fox (1992),Hardcover,848 p.; 10.1 inches,3.35 pounds,10.1 inches,1.6 inches,7.2 inches,10.1 x 7.2 x 1.6 inches,848 ,,,,,,,,Your library,English,English,TA357 .F69,[0471548529],"[0471548529, 9780471548522]",Fluid mechanics,620.106,Engineering > Engineering > Materials Science > Technology,,1,amazon.com,2011-01-08,,,50437,,,,
68692272,Mathematical Methods for Foreign Exchange: A Financial Engineer's Approach,1,"Lipton, Alexander",,,,"World Scientific Publishing Company (2001), Edition: 1st, Hardcover, 700 pages",2001,,,,,Mathematical Methods for Foreign Exchange: A Financial Engineer's Approach by Alexander Lipton (2001),Hardcover,700 p.; 8.5 inches,2.45 pounds,8.5 inches,1.6 inches,6.3 inches,8.5 x 6.3 x 1.6 inches,700 ,,,,,,,,Your library,English,,HG3823 .L57,[9810246153],"[9810246153, 9789810246150]",,332.450151,Economics > Finance > Foreign Exchange > Money > Social Sciences ,,1,amazon.com,2011-01-08,,,1297518,,,,
68692330,Electric Circuits,1,"Nilsson, James W.",,,,"Addison Wesley Publishing Company (1992), Edition: 4th, Hardcover, 948 pages",1992,,,,,Electric Circuits by James W. Nilsson (1992),Hardcover,948 p.; 9.2 inches,3.8 pounds,9.2 inches,1.6 inches,8.1 inches,9.2 x 8.1 x 1.6 inches,948 ,,,,,,,,Your library,English,English,TK454 .N54,[0201549875],"[0201549875, 9780201549874]",Electric circuit analysis > Data processing|Electric circuits|PSpice,621.3192,Electric engineering > Engineering > Mechanical Engineering and Machinery > Technology,,1,amazon.com,2011-01-08,,,409156,,,,
68692341,The Art of Electronics,5,"Horowitz, Paul",,"Hill, Winfield",,"Cambridge University Press (1989), Edition: 2, Hardcover, 1125 pages",1989,,,,,The Art of Electronics by Paul Horowitz (1989),Hardcover,1125 p.; 10.1 inches,4.3 pounds,10.1 inches,2 inches,7.2 inches,10.1 x 7.2 x 2 inches,1125 ,,,,,,,,Your library,English,English,TK7815 .H67,[0521370957],"[0521370957, 9780521370950]",Electronic circuit design|Electronics,621.381,"Electric engineering > Electronics > Electronics, Communications. > Engineering > Mechanical Engineering and Machinery > Technology",,1,amazon.com,2011-01-08,,,188114,,,,
68692362,Handbook of Chemistry and Physics (72nd Edition),1,"Lide, David R.",,,,"CRC Press (1991), Edition: 72, Hardcover, 2472 pages",1991,,,,,Handbook of Chemistry and Physics (72nd Edition) by David R. Lide (1991),Hardcover,,,,,,,2472 ,,,,,,,,Your library,English,English,QD65 .H3,[0849304725],"[0849304725, 9780849304729]",Chemistry > Periodicals|Chemistry > Tables|Chemistry > Tables > Periodicals|Chemistry > tables|Chimie > Tables|Mathematics > Tables|Physics > Periodicals|Physics > Tables|Physics > Tables > Periodicals|Physics > tables|Physique > Tables,540.2,Chemistry > Chemistry > Mathematics and Science > Miscellany,,1,amazon.com,2011-01-08,,,91077,,,,
68692484,Sams Teach Yourself JavaScript in 24 Hours (4th Edition),1,"Moncur, Michael",,,,"Sams (2006), Edition: 4, Paperback, 456 pages",2006,,,,,Sams Teach Yourself JavaScript in 24 Hours (4th Edition) by Michael Moncur (2006),Paperback,456 p.; 8.9 inches,1.65 pounds,8.9 inches,0.9 inches,7 inches,8.9 x 7 x 0.9 inches,456 ,,,,,,,,Your library,English,English,QA76.73 .J39,[0672328798],"[0672328798, 9780672328794]",JavaScript (Computer program language),005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,253443,,,,
68692511,Cocoa(R) Programming for Mac(R) OS X (3rd Edition),1,"Hillegass, Aaron Pablo",,,,"Addison-Wesley Professional (2008), Edition: 3, Paperback, 464 pages",2008,,,,,Cocoa(R) Programming for Mac(R) OS X (3rd Edition) by Aaron Pablo Hillegass (2008),Paperback,464 p.; 9.5 inches,2.15 pounds,9.5 inches,1.3 inches,7.2 inches,9.5 x 7.2 x 1.3 inches,464 ,,,,,,,,Your library,English,English,QA76.76 .O63,[0321503619],"[0321503619, 9780321503619]",Cocoa (Application development environment)|Mac OS|Macintosh (Computer) > Programming|Operating systems (Computers),005.268,Computer Software > Computing And Information > Information > Personal Computers > Programming For Specific Environments,,1,amazon.com,2011-01-08,,,197977,,,,
68692579,Analysis of Repeated Measures (Chapman & Hall/CRC Monographs on Statistics & Applied Probability),1,"Crowder, Martin J.",,"Hand, David J.",,"Chapman and Hall/CRC (1990), Edition: 1, Hardcover, 272 pages",1990,,,,,Analysis of Repeated Measures (Chapman & Hall/CRC Monographs on Statistics & Applied Probability) by Martin J. Crowder (1990),Hardcover,272 p.; 9.4 inches,1.07 pounds,9.4 inches,0.77 inches,5.98 inches,9.4 x 5.98 x 0.77 inches,272 ,,,,,,,,Your library,English,English,QA278 .C76,[041231830X],"[041231830X, 9780412318306]",,519.535,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2011-01-08,,,3120466,,,,
68692609,Objective-C Pocket Reference,1,"Duncan, Andrew",,,,"O'Reilly Media (2002), Edition: 1, Paperback, 128 pages",2002,,,,,Objective-C Pocket Reference by Andrew Duncan (2002),Paperback,128 p.; 6.99 inches,0.25 pounds,6.99 inches,0.38 inches,4.27 inches,6.99 x 4.27 x 0.38 inches,128 ,,,,,,,,Your library,English,English,QA76.64 .D85,[0596004230],"[0596004230, 9780596004231]","Speeches, addresses, etc., American|United States > POlitics and government|United States > Politics and Government|United States > Politics and government",005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,188001,,,,
68692624,Python Pocket Reference (Pocket Reference (O'Reilly)),1,"Lutz, Mark",,,,"O'Reilly Media (2005), Edition: 3, Paperback, 160 pages",2005,,,,,Python Pocket Reference (Pocket Reference (O'Reilly)) by Mark Lutz (2005),Paperback,160 p.; 6.8 inches,0.25 pounds,6.8 inches,0.5 inches,4.2 inches,6.8 x 4.2 x 0.5 inches,160 ,,,,,,,,Your library,English,English,QA76.73 .P98,[0596009402],"[0596009402, 9780596009403]",Python (Computer program language),005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,16816,,,,
68692655,JavaScript Application Cookbook,1,"Bradenbaugh, Jerry",,,,"O'Reilly Media (1999), Edition: 1, Paperback, 478 pages",1999,,,,,JavaScript Application Cookbook by Jerry Bradenbaugh (1999),Paperback,478 p.; 9.19 inches,1.66 pounds,9.19 inches,0.96 inches,7.05 inches,9.19 x 7.05 x 0.96 inches,478 ,,,,,,,,Your library,English,English,QA76.73 .J39,[1565925777],"[1565925777, 9781565925779]",Application software > Development|JavaScript (Computer program language)|Web site development,005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,71230,,,,
68692686,Programming in Objective-C,1,"Kochan, Stephen",,,,"Sams (2003), Edition: illustrated edition, Paperback, 576 pages",2003,,,,,Programming in Objective-C by Stephen Kochan (2003),Paperback,576 p.; 8.82 inches,2.03 pounds,8.82 inches,1.34 inches,7.17 inches,8.82 x 7.17 x 1.34 inches,576 ,,,,,,,,Your library,English,English,QA76.64 .K655,[0672325861],"[0672325861, 9780672325861]",C (Computer program language)|Object-oriented programming (Computer science)|Object-oriented programming (computer science),005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,199863,,,,
68692814,Antenna Book,1,,,,,"American Radio Relay League (1982), Paperback, 328 pages",1982,,,,,Antenna Book (1982),Paperback,,,,,,,328 ,,,,,,,,Your library,English,English,TK6565 .A6,[0872594149],"[0872594149, 9780872594142]",,621.384135,"Amateur radio > Electric engineering > Electronics, Communications. > Engineering > Mechanical Engineering and Machinery > Radar, Radio. > Technology",,1,amazon.com,2011-01-08,,,6566724,,,,
68692902,Introduction to Sequential Smoothing and Prediction,1,"Morrison, Norman",,"Charts, tables, equations",Illustrator,"McGraw-Hill Co. (1969), Edition: Presumed 1st E, Hardcover, 768 pages",1969,,,,,Introduction to Sequential Smoothing and Prediction by Norman Morrison (1969),Hardcover,768 p.,1.74 pounds,,,,,768 ,,,,,,,,Your library,English,,,[0070431825],"[0070431825, 9780070431829]",,,,,1,amazon.com,2011-01-08,,,10825005,,,,
68692928,"Nonparametric Function Estimation, Modeling, and Simulation",1,"Thompson, James R.",,"Tapia, Richard A.",,"Society for Industrial  Mathematics (1987), Edition: illustrated edition, Paperback, 320 pages",1987,,,,,"Nonparametric Function Estimation, Modeling, and Simulation by James R. Thompson (1987)",Paperback,320 p.; 8.9 inches,1.05 pounds,8.9 inches,0.7 inches,6 inches,8.9 x 6 x 0.7 inches,320 ,,,,,,,,Your library,English,,,[0898712610],"[0898712610, 9780898712612]",,519.544,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2011-01-08,,,8092368,,,,
68692948,Neural Computing - An Introduction,1,"Beale, R",,"Jackson, T",,"Institute of Physics Publishing (1990), Paperback, 240 pages",1990,,,,,Neural Computing - An Introduction by R Beale (1990),Paperback,240 p.; 8.9 inches,0.88 pounds,8.9 inches,0.55 inches,6.06 inches,8.9 x 6.06 x 0.55 inches,240 ,,,,,,,,Your library,English,English,,[0852742622],"[0852742622, 9780852742624]",,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2011-01-08,,,996374,,,,
68692975,Sams Teach Yourself Visual C .NET in 24 Hours,1,"Simon, Richard J.",,"Schmidt, Mark",,"Sams (2002), Paperback, 413 pages",2002,,,,,Sams Teach Yourself Visual C .NET in 24 Hours by Richard J. Simon (2002),Paperback,413 p.; 9.16 inches,1.58 pounds,9.16 inches,1.01 inches,7.38 inches,9.16 x 7.38 x 1.01 inches,413 ,,,,,,,,Your library,English,English,,[0672323230],"[0672323230, 9780672323232]",,005.2768,Computer Software > Computing And Information > For Networked Multimedia Systems > Information > Programming For Specific Environments > Web Programming,,1,amazon.com,2011-01-08,,,5291880,,,,
68693003,"Learning Python, Second Edition",1,"Lutz, Mark",,"Ascher, David",,"O'Reilly Media (2003), Edition: Second Edition, Paperback, 552 pages",2003,,,,,"Learning Python, Second Edition by Mark Lutz (2003)",Paperback,552 p.; 9.1 inches,2.7 pounds,9.1 inches,1.1 inches,7 inches,9.1 x 7 x 1.1 inches,552 ,,,,,,,,Your library,English,English,QA76.73 .P98,[0596002815],"[0596002815, 9780596002817]",Object-oriented programming (Computer science)|Object-oriented programming (computer science)|Python (Computer program language),005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,23266,,,,
68693029,Python Cookbook,1,"Martelli, Alex",,"Ravenscroft, Anna|Ascher, David",|,"O'Reilly Media (2005), Edition: Second Edition, Paperback, 848 pages",2005,,,,,Python Cookbook by Alex Martelli (2005),Paperback,848 p.; 9.18 inches,2.55 pounds,9.18 inches,1.5 inches,7.04 inches,9.18 x 7.04 x 1.5 inches,848 ,,,,,,,,Your library,English,English,QA76.73 .P98,[0596007973],"[0596007973, 9780596007973]",Python (Computer program language),005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,181336,,,,
68693071,Programming Python,1,"Lutz, Mark",,,,"O'Reilly Media (2006), Edition: Third Edition, Paperback, 1600 pages",2006,,,,,Programming Python by Mark Lutz (2006),Paperback,1600 p.; 9.1 inches,4.54 pounds,9.1 inches,2.51 inches,7.09 inches,9.1 x 7.09 x 2.51 inches,1600 ,,,,,,,,Your library,English,English,QA76.73 .P98,[0596009259],"[0596009259, 9780596009250]",Python (Computer program language),005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,156313,,,,
68693099,C: The Complete Reference,1,"Schildt, Herbert",,,,"Osborne/McGraw-Hill,U.S. (1989), Edition: 2Rev Ed, Paperback, 900 pages",1989,,,,,C: The Complete Reference by Herbert Schildt (1989),Paperback,900 p.; 9.1 inches,3.05 pounds,9.1 inches,1.7 inches,7.3 inches,9.1 x 7.3 x 1.7 inches,900 ,,,,,,,,Your library,English,English,QA76.73 .C15,[007881538X],"[007881538X, 9780078815386]",C (Computer program language)|C (computer program language)|C++ (Computer program language)|C++ (computer program language),005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2011-01-08,,,637197,,,,
68693241,Schaum's Outline of Probability and Statistics,1,"Spiegel, Murray R",,"Schiller, John J.|Srinivasan, R. Alu",|,"McGraw-Hill (2000), Edition: 2, Paperback, 408 pages",2000,,,,,Schaum's Outline of Probability and Statistics by Murray R Spiegel (2000),Paperback,408 p.; 10.8 inches,1.7 pounds,10.8 inches,0.9 inches,8.1 inches,10.8 x 8.1 x 0.9 inches,408 ,,,,,,,,Your library,English,English,QA273.25 .S64,[0071350047],"[0071350047, 9780071350044]","Mathematical statistics > Problems, exercises, etc|Probabilities > Problems, exercises, etc",519.2076,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Probabilities",,1,amazon.com,2011-01-08,,,113959,,,,
68693254,"Introduction to Algorithms, Second Edition",1,"Cormen, Thomas H.",,"Leiserson, Charles E.|Rivest, Ronald L.|Stein, Clifford",||,"The MIT Press (2001), Edition: 2nd, Hardcover, 1184 pages",2001,,,,,"Introduction to Algorithms, Second Edition by Thomas H. Cormen (2001)",Hardcover,1184 p.; 9.1 inches,4.55 pounds,9.1 inches,2 inches,8.1 inches,9.1 x 8.1 x 2 inches,1184 ,,,,,,,,Your library,English,English,QA76.6 .C662,[0262032937],"[0262032937, 9780262032933]",COMPUTER PROGRAMMING|Computer algorithms|Computer programming,005.1,Computer Software > Computing And Information > Information > Programming,,1,amazon.com,2011-01-08,,,13005,,,,
68693267,The Selfish Gene,5,"Dawkins, Richard",,,,"Oxford University Press, USA (2006), Edition: 3, Hardcover, 384 pages",2006,,,,,The Selfish Gene by Richard Dawkins (2006),Hardcover,384 p.; 7.8 inches,0.95 pounds,7.8 inches,1.1 inches,5 inches,7.8 x 5 x 1.1 inches,384 ,,,,,,,,Your library,English,English,QH437 .D38,[0199291144],"[0199291144, 9780199291144]","Animal behavior|Animal genetics|Animals Behaviour expounded by theories of survival of species|Animals Genes|Animals, Habits and behavior of|Behavior genetics|Etologia Animal|Evolution|Evolution > Popular Works|Evolution > Popular works|Evolution (Biology)|Genetica|Genetics|Genetics, Behavioral|Genetics, Behavioral > Popular Works|Genetics, behavioral|Natural selection|Popular Works|Sociobiology|animal behavior|animal genetics|evolution|evolution (biology)|genetics|sociobiology",576.5,Evolution And Genetics > Genetics > Life Sciences > Mathematics and Science,,1,amazon.com,2011-01-08,,,23538,,,,
68693286,On the Road (Penguin Great Books of the 20th Century),1,"Kerouac, Jack",,,,"Penguin (Non-Classics) (1999), Edition: 1, Paperback, 304 pages",1999,,,,,On the Road (Penguin Great Books of the 20th Century) by Jack Kerouac (1999),Paperback,304 p.; 8.42 inches,0.73 pounds,8.42 inches,0.82 inches,5.62 inches,8.42 x 5.62 x 0.82 inches,304 ,,,,,,,,Your library,English,English,PZ3 .K4596,[0140283293],"[0140283293, 9780140283297]","Autobiographical fiction|Autobiographical fiction, American > History and criticism|Beat generation > Fiction|Beat generation in literature|Kerouac, Jack, 1922-1969. On the road",813.54,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,1,amazon.com,2011-01-08,,,3207,,,,
68693554,TRANSMISSION LINE TRANSFORMERS,1,,,,,"AMERICAN RADIO RELAY LEAGUE (1987), Leather Bound",1987,,,,,TRANSMISSION LINE TRANSFORMERS (1987),Paper Book,9.1 inches,0.8 pounds,9.1 inches,0.7 inches,6.1 inches,9.1 x 6.1 x 0.7 inches,,,,,,,,,Your library,English,,,[0872590461],"[0872590461, 9780872590465]",,,,,1,amazon.com,2011-01-08,,,12064292,,,,
68693563,The Age of Turbulence: Adventures in a New World,5,"Greenspan, Alan",,,,"Penguin Press HC, The (2007), Edition: 1ST, Hardcover, 544 pages",2007,,,,,The Age of Turbulence: Adventures in a New World by Alan Greenspan (2007),Hardcover,544 p.; 9.4 inches,2.2 pounds,9.4 inches,1.8 inches,6.2 inches,9.4 x 6.2 x 1.8 inches,544 ,,,,,,,,Your library,English,English,HB119 .G74,[1594201315],"[1594201315, 9781594201318]","Government economists > United States > Biography|Greenspan, Alan, 1926-|Large Type Books|Large type books|United States > Economic conditions > 1945-",332.11092,Banking > Biography > Biography And History > Central Banking > Economics > Finance > Social Sciences ,,1,amazon.com,2011-01-08,,,3109878,,,,
68693610,Applied Statistics: A Handbook of Techniques (Springer Series in Statistics),1,"Sachs, Lothar",,"Reynarowych, Zenon",Translator,"Springer (1982), Edition: 1, Hardcover, 706 pages",1982,,,,,Applied Statistics: A Handbook of Techniques (Springer Series in Statistics) by Lothar Sachs (1982),Hardcover,,,,,,,706 ,,,,,,,,Your library,English,,QA276 .S213,[0387905588],"[0387905588, 9780387905587]",Mathematical statistics,519.5,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2011-01-08,,,1449966,,,,
68693630,An Introduction to Genetic Algorithms (Complex Adaptive Systems),4,"Mitchell, Melanie",,,,"The MIT Press (1996), Edition: First printing., Hardcover, 224 pages",1996,,,,,An Introduction to Genetic Algorithms (Complex Adaptive Systems) by Melanie Mitchell (1996),Hardcover,224 p.; 10.27 inches,1.65 pounds,10.27 inches,0.74 inches,7.21 inches,10.27 x 7.21 x 0.74 inches,224 ,,,,,,,,Your library,English,English,QH441.2 .M55,[0262133164],"[0262133164, 9780262133166]",Genetics > Computer simulation|Genetics > Mathematical models,575.10113,Heredity > Life Sciences > Mathematics and Science > Specific parts of and physiological systems in plants,,1,amazon.com,2011-01-08,,,10490,,,,
68693638,"Concepts, Techniques, and Models of Computer Programming",1,"Roy, Peter Van",,"Haridi, Seif",,"The MIT Press (2004), Hardcover, 930 pages",2004,,,,,"Concepts, Techniques, and Models of Computer Programming by Peter Van Roy (2004)",Hardcover,930 p.; 10.08 inches,4.45 pounds,10.08 inches,1.97 inches,8.35 inches,10.08 x 8.35 x 1.97 inches,930 ,,,,,,,,Your library,English,English,QA76.6 .V36,[0262220695],"[0262220695, 9780262220699]",COMPUTER PROGRAMMING|Computer programming,005.1,Computer Software > Computing And Information > Information > Programming,,1,amazon.com,2011-01-08,,,16747,,,,
68693654,Methods for Statistical Data Analysis of Multivariate Observations (Wiley series in probability & mathematical statistics),1,"Gnanadesikan, Ram",,,,"John Wiley & Sons Inc (1977), Edition: 3rd Printing, Hardcover, 324 pages",1977,,,,,Methods for Statistical Data Analysis of Multivariate Observations (Wiley series in probability & mathematical statistics) by Ram Gnanadesikan (1977),Hardcover,,,,,,,324 ,,,,,,,,Your library,English,English,QA278 .G6,[0471308455],"[0471308455, 9780471308454]",,519.535,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2011-01-08,,,1169056,,,,
68693667,Statistics in Research,1,,,,,"Iowa State University Press (1988), Hardcover, 596 pages",1988,,,,,Statistics in Research (1988),Hardcover,596 p.,1.74 pounds,,,,,596 ,,,,,,,,Your library,English,,HA29 .O8,[0813815703],"[0813815703, 9780813815701]",STATISTICS|Statistics,311.2,"Social Sciences  > Statistics > [Formerly ""Theories; Methods""; No longer used]",,1,amazon.com,2011-01-08,,,3287589,,,,
68693680,Statistics for Research (Probability & Mathematical Statistics),1,"Dowdy, Shirley",,"Wearden, Stanley",,"John Wiley & Sons Inc (1983), Hardcover, 554 pages",1983,,,,,Statistics for Research (Probability & Mathematical Statistics) by Shirley Dowdy (1983),Hardcover,554 p.; 11 inches,2 pounds,11 inches,1.1 inches,8.9 inches,11 x 8.9 x 1.1 inches,554 ,,,,,,,,Your library,English,English,QA276 .D66,[0471086029],"[0471086029, 9780471086024]",Mathematical statistics,519.5,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2011-01-08,,,2278920,,,,
68693695,Random Signals Estimation and Identification:Analysis and Applications (Van Nostrand Reinhold Electrical/Computer Science and Engineering Series),1,"Mohanty, Nirode",,,,"Springer (1986), Edition: 1, Hardcover, 626 pages",1986,,,,,Random Signals Estimation and Identification:Analysis and Applications (Van Nostrand Reinhold Electrical/Computer Science and Engineering Series) by Nirode Mohanty (1986),Hardcover,626 p.; 8.9 inches,2.1 pounds,8.9 inches,1.4 inches,6.1 inches,8.9 x 6.1 x 1.4 inches,626 ,,,,,,,,Your library,English,English,,[0442263961],"[0442263961, 9780442263966]",,621.380436,"Electric engineering > Electronics, Communications. > Engineering > Light current engineering > Mechanical Engineering and Machinery > Technology",,1,amazon.com,2011-01-08,,,2719602,,,,
68693705,An Introduction to Computer Simulation Methods: Applications to Physical Systems : Part I (Pt. 1),4,"Gould, Harvey",,"Tobochnik, Jan",,"Addison-Wesley (1987), Edition: First Edition, Paperback, 244 pages",1987,,,,,An Introduction to Computer Simulation Methods: Applications to Physical Systems : Part I (Pt. 1) by Harvey Gould (1987),Paperback,244 p.; 9.25 inches,0.95 pounds,9.25 inches,0.5 inches,6.5 inches,9.25 x 6.5 x 0.5 inches,244 ,,,,,,,,Your library,English,English,QC21.2 1,[0201165031],"[0201165031, 9780201165036]",,530.0724,Mathematics and Science > Physics > Physics > Physics,,1,amazon.com,2011-01-08,,,1910161,,,,
68840053,Beginning JavaScript and CSS Development with jQuery (Wrox Programmer to Programmer),1,"York, Richard",,,,"Wrox (2009), Paperback, 560 pages",2009,,,,,Beginning JavaScript and CSS Development with jQuery (Wrox Programmer to Programmer) by Richard York (2009),Paperback,560 p.; 9.21 inches,2.81 pounds,9.21 inches,1.11 inches,7.46 inches,9.21 x 7.46 x 1.11 inches,560 ,,,,,,,,Your library,English,English,QA76.73 .J38,[0470227796],"[0470227796, 9780470227794]",,006.76,Computing And Information > Information > Special Topics > Web & Multimedia Programming > Web Design,,1,amazon.com,2011-01-12,,,8935218,,,,
